Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
75000.0,1486.0,2018 Renault Kwid 1.0 Dynamique,Used Car82 000 kmManual,NICK AUTO,"Glen Marais, Kempton Park",Manual,82.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
75000.0,1486.0,2014 SsangYong Korando 2.0,Used Car105 000 kmManual,GI MOTORS,"Pretoria Central, Pretoria",Manual,105.0,2014,SsangYong,Korando,['2.0']
75000.0,1486.0,2012 Chevrolet Spark Lite 1.0 LS,Used Car55 000 kmManual,ZAN AUTO,"Savoy Estate, Johannesburg",Manual,55.0,2012,Chevrolet,Spark,"['Lite', '1.0', 'LS']"
75000.0,1486.0,2014 Ford Figo 1.4 Ambiente,Used Car90 000 kmManual,EAGLE CARS,"Bezuidenhout Valley, Johannesburg",Manual,90.0,2014,Ford,Figo,"['1.4', 'Ambiente']"
75000.0,1486.0,2012 Hyundai i10 1.1 GLS,Used Car102 000 kmManual,STEPHENS AUTO MOTORS,"Kempton Park Central, Kempton Park",Manual,102.0,2012,Hyundai,i10,"['1.1', 'GLS']"
75000.0,1486.0,2013 Chevrolet Utility 1.4,Used Car119 000 kmManual,NOLLY MOTORS,"Glen Marais, Kempton Park",Manual,119.0,2013,Chevrolet,Utility,['1.4']
75000.0,1486.0,2013 Hyundai i10 1.25 Glide,Used Car103 000 kmManual,NOLLY MOTORS,"Glen Marais, Kempton Park",Manual,103.0,2013,Hyundai,i10,"['1.25', 'Glide']"
75000.0,1486.0,2018 Renault Kwid 1.0 Dynamique,Used Car83 000 kmManual,JAY JAY MOTORS,"Rhodesfield, Kempton Park",Manual,83.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
75000.0,1486.0,2012 Ford Figo 1.4 Ambiente,Used Car90 000 kmManual,TREASURE CITY CARS,"Rhodesfield, Kempton Park",Manual,90.0,2012,Ford,Figo,"['1.4', 'Ambiente']"
75000.0,1486.0,2013 Nissan Micra 1.2 Visia+,Used Car142 000 kmManual,TREASURE CITY CARS,"Rhodesfield, Kempton Park",Manual,142.0,2013,Nissan,Micra,"['1.2', 'Visia+']"
75000.0,1486.0,2018 Renault Kwid 1.0 Dynamique,Used Car83 000 kmManual,TREASURE CITY CARS,"Rhodesfield, Kempton Park",Manual,83.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
75000.0,1486.0,2012 Ford Figo 1.4 Ambiente,Used Car84 000 kmManual,JAY JAY MOTORS,"Rhodesfield, Kempton Park",Manual,84.0,2012,Ford,Figo,"['1.4', 'Ambiente']"
74999.0,1486.0,2016 Chevrolet Utility 1.4,Used Car86 000 kmManual,H M AUTOS,"Selby, Johannesburg",Manual,86.0,2016,Chevrolet,Utility,['1.4']
74999.0,1486.0,2012 Ford Figo 1.4 Ambiente,Used Car89 000 kmManual,E MOTORS,"Bramley, Johannesburg",Manual,89.0,2012,Ford,Figo,"['1.4', 'Ambiente']"
