Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99900.0,1979.0,2016 Volkswagen Polo Vivo 5-Door 1.4 Trendline,Used Car78 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,78.0,2016,Volkswagen,Polo,"['Vivo', '5-Door', '1.4', 'Trendline']"
99900.0,1979.0,2015 Volkswagen Polo Vivo Hatch 1.4 Trendline,Used Car72 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,72.0,2015,Volkswagen,Polo,"['Vivo', 'Hatch', '1.4', 'Trendline']"
99900.0,1979.0,2018 Kia Picanto 1.2 Start,Used Car63 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,63.0,2018,Kia,Picanto,"['1.2', 'Start']"
99900.0,1979.0,2012 Citroen C3 e-HDi 90 Seduction,Used Car159 000 kmManual,REVENTON AUTO (PTY) LTD,"Craigavon, Sandton",Manual,159.0,2012,Citroen,C3,"['e-HDi', '90', 'Seduction']"
99900.0,1979.0,2009 Volkswagen Caddy 1.9TDI Panel Van Maxi,Used Car260 000 kmManual,REVENTON AUTO (PTY) LTD,"Craigavon, Sandton",Manual,260.0,2009,Volkswagen,Caddy,"['1.9TDI', 'Panel', 'Van', 'Maxi']"
99900.0,1979.0,2012 Audi A1 3-Door 1.4TFSI Ambition,Used Car236 000 kmManual,REVENTON AUTO (PTY) LTD,"Craigavon, Sandton",Manual,236.0,2012,Audi,A1,"['3-Door', '1.4TFSI', 'Ambition']"
99900.0,1979.0,2012 Volvo C30 2.0 Essential,Used Car223 910 kmManual,SUNWARD MOTORS SILVERTON,"Silverton, Pretoria",Manual,223.91,2012,Volvo,C30,"['2.0', 'Essential']"
99900.0,1979.0,2001 BMW 5 Series 530i Auto,Used Car176 200 kmAutomatic,THE AUTO AGENTS,"Kensington B, Randburg",Automatic,176.2,2001,BMW,5,"['Series', '530i', 'Auto']"
99900.0,1979.0,2008 Volkswagen Polo 1.4 Trendline,Used Car271 000 kmManual,AUTO INVESTMENTS CENTURION,"Hennops Park Industrial, Centurion",Manual,271.0,2008,Volkswagen,Polo,"['1.4', 'Trendline']"
99900.0,1979.0,2010 Kia Sportage 2.0 Auto,Used Car188 200 kmAutomatic,KONDAKOV CARS CC,"Ravenswood, Boksburg",Automatic,188.2,2010,Kia,Sportage,"['2.0', 'Auto']"
